path,size,format,tlv_start,tlv_bruteforce,zlib_xml,xml_data_count,xml_sample_rate,xml_comp_bits,xml_samples,xml_stereo,total_compressed_bytes,blob_start,blob_from_end,zlib_window_hash,blob_window_hash,chunk_count,sample_rate,articulation_count,chunk_decode_total,chunk_decode_valid,chunk_decode_invalid
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/NeverSnare/NeverSnare Z3.tci,2872581,tci2,,,2870979,20,0,"[1136214, 1131598, 1130392, 1148657, 1161748, 1152074, 1157501, 1154311, 1181515, 1167280, 1170661, 1166878, 1174126, 1175258, 1172518, 1169228, 1106992, 1104781, 1100962, 1104379]","[93492, 93492, 93492, 93492, 93492, 93492, 93492, 93492, 87673, 87673, 87673, 87673, 88166, 88166, 88166, 88166, 88166, 88166, 88166, 88166]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2870892,87,2872494,76e0eb916357f78da8a1eb3a3ec906bc9821ca0f,2fbc3995a3149dfea5dd454a08a673666d05a3a7,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/NeverSnare/NeverSnare Z1.tci,3163734,tci2,,,3162123,20,0,"[1208380, 1227248, 1206545, 1207174, 1208782, 1234510, 1239360, 1213606, 1323144, 1310090, 1316310, 1321523, 1321808, 1309547, 1318190, 1322786, 1253441, 1257461, 1250051, 1246259]","[93492, 93492, 93492, 93492, 93492, 93492, 93492, 93492, 93489, 93490, 93489, 93490, 93493, 93493, 93493, 93493, 93493, 93493, 93493, 93493]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3162035,88,3163646,f908e24379cb458397c175f1a143676b49882775,5a4e028c23409949f31e7b96f13dd1b79975f81b,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/NeverSnare/NeverSnare Z2.tci,3280363,tci2,,,3278742,20,0,"[1258841, 1282184, 1261052, 1258868, 1265713, 1280967, 1292022, 1266469, 1375404, 1363781, 1372389, 1370993, 1357184, 1346759, 1355375, 1354544, 1292462, 1300475, 1287035, 1286660]","[93493, 93493, 93493, 93493, 93494, 93492, 93492, 93492, 93489, 93490, 93489, 93490, 93493, 93493, 93493, 93493, 93493, 93493, 93493, 93493]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3278655,87,3280276,63ebee92f0a8b57323ebff43d1d6a6977f992902,557487d8b2f2fb81c02249b223f0405125f4e750,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare15/Snare 15 Z3.tci,2339970,tci2,,,2338126,24,0,"[851533, 841694, 848909, 844106, 849935, 836870, 845693, 846116, 844106, 842900, 849131, 852749, 839483, 838880, 838076, 837854, 689433, 692504, 692303, 671399, 611034, 608421, 606612, 624501]","[63495, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 63496, 52920, 52920, 52920, 52920, 52919, 52919, 52919, 52919]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2338040,86,2339884,0f1907b510ee2e25e0bc509da909826c19404e93,4e596ceebe20257fe09974c851079ab16a87b8f6,24,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/NeverSnare/NeverSnare SSDR.tci,6292957,tci2,,,6291363,20,0,"[2567933, 2565119, 2571752, 2560496, 2587631, 2574968, 2584415, 2576174, 2550245, 2527130, 2548637, 2529140, 2488136, 2472056, 2477282, 2470247, 2454971, 2414570, 2391455, 2417786]","[163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878, 163878]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6291274,89,6292868,2adba055050f5b59f096134a62542b5b8723e803,0e05b8c06b082d934815cb6d14aaea3ebd5b60d0,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare15/Snare 15 NRG.tci,5718372,tci2,,,5716727,20,0,"[2436409, 2391787, 2404852, 2425555, 2422743, 2416713, 2434801, 2409877, 2354805, 2371486, 2314806, 2325859, 2249485, 2217130, 2216931, 2231399, 2026200, 2007091, 2059324, 2015804]","[172702, 172702, 172702, 172702, 172704, 172704, 172702, 172702, 172704, 172702, 172704, 172702, 172708, 172714, 172716, 172712, 173120, 173106, 172886, 173176]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5716642,85,5718287,a0ca41447961917bbbb43d62d7d3ad4bcc1aabf9,51479e9e5b8700f91566622f975abd1a99c7f85c,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare15/Snare 15 Z1.tci,2551297,tci2,,,2549435,24,0,"[941951, 941750, 928750, 918081, 911927, 928283, 932515, 925871, 923068, 919863, 923660, 926072, 913811, 911886, 913695, 916424, 739719, 744744, 745401, 724845, 662334, 660525, 668766, 670776]","[65442, 65442, 65440, 63826, 63833, 65442, 65443, 65442, 65443, 65444, 65442, 65442, 65442, 65442, 65442, 65442, 52918, 52918, 52918, 52918, 52918, 52918, 52918, 52918]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2549347,88,2551209,b2c1461657989aa97dfc67af30700b675856fb12,b7d08ec8d6e834e20212b32221601affab10f2dd,24,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare03p/Snare 3P Z3.tci,1550416,tci2,,,1548809,20,0,"[693815, 681755, 679745, 679333, 688739, 692558, 693563, 685512, 665263, 659655, 666871, 664861, 622118, 606884, 609254, 608450, 454747, 445161, 445374, 446070]","[47185, 47185, 47185, 47184, 47185, 47185, 47185, 47184, 47184, 47186, 47184, 47184, 47186, 47185, 47186, 47186, 33072, 33071, 33073, 33073]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1548724,85,1550331,031eb123ab81f3d44b1b5f4e3db5dbccf4d33558,7ac8c959686dbda24b17438a4910110b5d75cb68,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare03p/Snare 3P Z1.tci,1938683,tci2,,,1937080,20,0,"[869370, 903339, 950408, 966689, 884646, 876405, 859320, 881229, 836004, 827160, 828969, 832386, 793795, 772489, 784749, 779925, 469599, 460425, 458829, 460130]","[65183, 65183, 65183, 65183, 65183, 65183, 65183, 65183, 65183, 65183, 65183, 65183, 65184, 65184, 65183, 65183, 33070, 33069, 33071, 33071]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1936993,87,1938596,84d90d1baa6531a7abb188f9d0082a01d86f999a,f852fa54df8063ebacb8ed6f4b21f4da5464e44d,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/NeverSnare/NeverSnare NRG.tci,6690915,tci2,,,6689268,20,0,"[2615757, 2608720, 2597868, 2616161, 2611134, 2621586, 2622993, 2614752, 2711238, 2684308, 2697176, 2700995, 2692623, 2757576, 2809574, 2784275, 2668978, 2723392, 2678364, 2695901]","[187450, 187448, 187450, 187452, 187450, 187450, 187450, 187450, 187456, 187460, 187464, 187464, 187534, 187556, 187696, 187530, 187792, 187936, 187932, 187974]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6689179,89,6690826,0bc9e6640d925c47d71a39dacfd86ffb784eeaad,e06cfbadd18b96ea2e4c497e9ff514677580d816,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare15/Snare 15 SSDR.tci,7048648,tci2,,,7047055,20,0,"[2996578, 2980900, 2953162, 3004618, 2956579, 2933062, 2914771, 2948338, 2848039, 2845024, 2859094, 2845828, 2728444, 2720203, 2722213, 2704123, 2591161, 2590960, 2613673, 2618899]","[197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814, 197814]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7046969,86,7048562,e2b69bd603a78339d97107be79ffc9884601b4a1,0c4020afe8b0f5642365f44bc4fb80599086ce84,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare13/Snare 13 Z1.tci,2695150,tci2,,,2693548,20,0,"[1081284, 1081812, 1064991, 1096083, 1094562, 1089336, 1096962, 1082817, 1114059, 1127200, 1127124, 1117074, 1080492, 1086924, 1070567, 1078884, 1009539, 1001021, 1039966, 1006926]","[75853, 75853, 75852, 75853, 75854, 75854, 75853, 75853, 75854, 75854, 75854, 75854, 75854, 75854, 75854, 75854, 75854, 75854, 75854, 75854]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2693462,86,2695064,3f92f5518f397ccac83f16ca07fa62fbf3897495,88401eee020dd5d523d0eed847bd553d86d367fd,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare13/Snare 13 Z3.tci,2155532,tci2,,,2153937,20,0,"[879797, 881405, 880745, 911498, 899495, 891398, 894269, 886976, 869582, 888275, 888476, 875411, 861140, 851894, 847472, 845132, 784028, 788378, 781142, 824228]","[65269, 65269, 65269, 65269, 65269, 65269, 65269, 65269, 62182, 62182, 62182, 62182, 62182, 62182, 62182, 62182, 62182, 62182, 62182, 62182]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2153851,86,2155446,c32413d0f17b1b2a861c544de90468681b5c65f2,14cf32395c10f8057bbf753108ac3d16d3ecb95f,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare03p/Snare 3P NRG.tci,6089886,tci2,,,6088263,20,0,"[2518050, 2501769, 2502171, 2514834, 2516042, 2527095, 2524886, 2506794, 2464182, 2484684, 2433232, 2448707, 2353680, 2349664, 2381018, 2392274, 2382531, 2356056, 2273828, 2273828]","[168290, 168290, 168290, 168290, 168292, 168290, 168292, 168290, 168290, 168290, 168294, 168292, 168338, 168342, 168340, 168340, 176174, 169074, 169248, 169248]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6088175,88,6089798,52ebe6cef40b63767ae5c57db1535279bd17f25e,2c492aa5a82ade60bb4ec5e155aaad9e0fda8a28,20,48000,4,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Snares/Snare03p/Snare 3P SSDR.tci,6942024,tci2,,,6940411,20,0,"[3116286, 3116085, 3115880, 3099201, 3076488, 3069051, 3063825, 3062820, 2995083, 3000309, 3023625, 3040911, 2769360, 2784636, 2839308, 2859609, 1893715, 1888690, 1886079, 1821556]","[193866, 193866, 193862, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 193866, 128246, 128246, 128248, 128246]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6940324,87,6941937,11258b535d44639bafda54ab0da165679cba0acb,e0d7c546364ae9b183f957d865f371f7afb1e3a1,20,48000,4,,,
