path,size,format,tlv_start,tlv_bruteforce,zlib_xml,xml_data_count,xml_sample_rate,xml_comp_bits,xml_samples,xml_stereo,total_compressed_bytes,blob_start,blob_from_end,zlib_window_hash,blob_window_hash,chunk_count,sample_rate,articulation_count,chunk_decode_total,chunk_decode_valid,chunk_decode_invalid
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick HB/DW Kick HB DIR.tci,3147560,tci2,,,3146326,24,0,"[1084273, 1087784, 1078194, 1066500, 1086938, 1068289, 1093361, 1088491, 1095681, 1091088, 1100948, 1091424, 1034011, 1024684, 1026921, 1027116, 1033379, 1031329, 996871, 995592, 988073, 991392, 993894, 993564]","[75792, 76848, 75696, 75120, 75744, 76272, 75168, 75024, 75216, 75072, 75456, 75120, 68400, 68160, 68304, 68160, 69168, 68639, 66816, 66432, 66672, 66768, 66576, 66480]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3146237,89,3147471,3626fcd257ab75fd98990851535149ff206fe64f,1fa0703d0657593f2ee918dceddc66f51c4c5278,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick HB/DW Kick HB OH.tci,6381954,tci2,,,6380656,24,0,"[2283084, 2285643, 2253527, 2229211, 2311502, 2257980, 2294278, 2253661, 2283536, 2284689, 2220386, 2256840, 2045910, 2039154, 2063041, 2035294, 2070868, 2115118, 1915352, 1899725, 1879916, 1933537, 1918643, 1913575]","[151584, 153696, 151392, 150240, 151488, 152544, 150336, 150048, 150432, 150144, 150912, 150240, 136800, 136320, 136608, 136320, 138336, 137278, 133632, 132864, 133344, 133536, 133152, 132960]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6380569,87,6381867,c8d82b7c7020cc8fa03291d7df8655eca524a056,ef5e20cf5394842a04f0f2de15f1f1553183a587,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick HB/DW Kick HB NRG.tci,7002919,tci2,,,7001622,24,0,"[2496805, 2526100, 2498861, 2462061, 2494881, 2502750, 2495868, 2460189, 2489644, 2496732, 2466732, 2479531, 2241118, 2255311, 2249021, 2231392, 2249001, 2275498, 2125363, 2119420, 2107528, 2117393, 2087483, 2083518]","[151584, 153696, 151392, 150240, 151488, 152544, 150336, 150048, 150432, 150144, 150912, 150240, 136800, 136320, 136608, 136320, 138336, 137278, 133632, 132864, 133344, 133536, 133152, 132960]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7001536,86,7002833,c39d3ae9c6528792c89a0f3268be206480095b49,a8e164f8b33688031cfc3503cff57900da696f93,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick HB/DW Kick HB NRGc.tci,7521613,tci2,,,7520309,24,0,"[2630298, 2655675, 2634373, 2600441, 2630891, 2636600, 2633125, 2604307, 2629221, 2635217, 2613221, 2613196, 2361636, 2378163, 2365400, 2354445, 2381708, 2393887, 2424148, 2413889, 2399339, 2414010, 2379513, 2378983]","[151584, 153696, 151392, 150240, 151488, 152544, 150336, 150048, 150432, 150144, 150912, 150240, 136800, 136320, 136608, 136320, 138336, 137278, 133632, 132864, 133344, 133536, 133152, 132960]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7520223,86,7521527,559ca4aed6f285c41e57314c983ac4c692bb1f12,fd551fe2d775b580fc7d1033c1f72facda30ab51,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick SB/DW Kick SB OH.tci,7432985,tci2,,,7431662,24,0,"[2788242, 2681422, 2763760, 2663280, 2579085, 2642490, 2551035, 2635107, 2545344, 2514749, 2571133, 2620312, 2518660, 2492773, 2541917, 2549957, 2498203, 2564916, 2031370, 2085374, 2167519, 2141465, 2127305, 2177093]","[194304, 188160, 193536, 185088, 180864, 179328, 179328, 181440, 181056, 178176, 179712, 179968, 180096, 175488, 181248, 178688, 177664, 178432, 150450, 152832, 160128, 159360, 156288, 162624]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7431574,88,7432897,52f3039a92a56a4247ad104cb574aef80cbc5de2,187227992fe53a4ab4157ace00a208df0d1e66a7,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick SB/DW Kick SB DIR.tci,3663272,tci2,,,3662023,24,0,"[1326455, 1288354, 1318252, 1261310, 1243512, 1240145, 1248587, 1259600, 1254585, 1237981, 1250194, 1252604, 1266060, 1242580, 1287255, 1263725, 1251110, 1263534, 1044280, 1068016, 1106676, 1100885, 1085715, 1133985]","[97152, 94080, 96768, 92544, 90432, 89664, 89664, 90720, 90528, 89088, 89856, 89984, 90048, 87744, 90624, 89344, 88832, 89216, 75225, 76416, 80064, 79680, 78144, 81312]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3661935,88,3663184,9c247510e6f6da935f0869eae856708c601d85fb,142689ebd8855ca89bb949e66ceb7773d28c9556,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick SB/DW Kick SB NRGc.tci,8428341,tci2,,,8427009,24,0,"[3117617, 3043222, 3129122, 3009770, 2927582, 2971964, 2952467, 2993426, 2918555, 2912818, 2950420, 2959069, 2828198, 2785630, 2843362, 2847035, 2795863, 2852145, 2322117, 2376422, 2487843, 2447755, 2425900, 2516998]","[194304, 188160, 193536, 185088, 180864, 179328, 179328, 181440, 181056, 178176, 179712, 179968, 180096, 175488, 181248, 178688, 177664, 178432, 150450, 152832, 160128, 159360, 156288, 162624]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8426925,84,8428257,deafa99f39329fce40c49d53d4985e8942faf0a6,60c33f5e1c8bf77b13a7b325a26cde47b4228fce,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/DW Kick SB/DW Kick SB NRG.tci,8254952,tci2,,,8253623,24,0,"[3043850, 2980510, 3058225, 2953524, 2867118, 2911830, 2879469, 2927498, 2846597, 2838448, 2874040, 2886838, 2778552, 2735782, 2787082, 2796582, 2743825, 2802498, 2282721, 2335820, 2439804, 2402932, 2382685, 2471974]","[194304, 188160, 193536, 185088, 180864, 179328, 179328, 181440, 181056, 178176, 179712, 179968, 180096, 175488, 181248, 178688, 177664, 178432, 150450, 152832, 160128, 159360, 156288, 162624]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",8253536,87,8254865,fee422dd3813186adccf96523dd4ec1d70556045,a3c53f4772cc634a9f24d22da6844b7cfce4179a,24,48000,1,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/HC Snare/Heuer Crank DIR.tci,7973023,tci2,,,7970326,48,0,"[1643836, 1658098, 1648055, 1662665, 1658123, 1562727, 1613904, 1620783, 1638195, 1554234, 1591846, 1548692, 1536426, 1476986, 1497563, 1518148, 1520300, 1487796, 1416173, 1404126, 1373575, 1387902, 1367039, 1391378, 1365572, 1347241, 1340353, 1376763, 1348236, 1332916, 1257678, 1179291, 1221593, 1232132, 1275373, 1217244, 1070204, 1044591, 1068205, 1098448, 1109031, 1100427, 815317, 823175, 833714, 825486, 846239, 853948]","[132992, 133056, 133056, 134144, 132480, 133004, 126876, 128384, 128025, 120576, 126336, 123264, 119615, 114944, 117216, 119680, 115455, 115392, 109344, 108768, 107280, 108096, 106272, 106560, 103296, 102272, 102528, 105504, 102400, 102528, 99456, 93440, 98112, 99648, 101120, 95808, 83808, 81696, 82816, 85824, 88576, 89184, 67200, 67488, 67776, 67712, 69216, 70080]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7970240,86,7972937,96fcba4e45a6ea60e42104fbf3a822b89d7b927f,0868f1359300dc52f4237d3b84c3a6e7500113e1,48,48000,2,,,
/Users/marian/Samples/Trigger2Library/Trigger2 Deluxe/HC Snare/Heuer Crank NRG.tci,17374431,tci2,,,17371594,48,0,"[3665897, 3680411, 3667158, 3700140, 3621759, 3640820, 3563560, 3601269, 3548546, 3393538, 3525166, 3436163, 3491931, 3317240, 3403682, 3318157, 3291040, 3288944, 3023100, 3046028, 2978813, 3007760, 2932698, 3061737, 2937122, 2944604, 2873458, 2962856, 2812062, 2896774, 2739151, 2556219, 2684982, 2753000, 2777467, 2689034, 2205172, 2165580, 2193688, 2287357, 2378795, 2367205, 1730124, 1740921, 1750033, 1743889, 1772128, 1804658]","[265984, 266112, 266112, 268288, 264960, 266008, 253752, 256768, 256050, 241152, 252672, 246528, 239230, 229888, 234432, 239360, 230910, 230784, 218688, 217536, 214560, 216192, 212544, 213120, 206592, 204544, 205056, 211008, 204800, 205056, 198912, 186880, 196224, 199296, 202240, 191616, 167616, 163392, 165632, 171648, 177152, 178368, 134400, 134976, 135552, 135424, 138432, 140160]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17371501,93,17374338,ebab3866b6cdde0d7e06051bfdc2578576d738ed,011f9da30fdb46f8f654192075971ab4c1f939a8,48,48000,2,,,
